POSbef,POS,POSaft,Probbef,Probaft
ADJ,ADJ,ADJ,0.011968085,0.016978417
ADJ,ADV,ADJ,0.025810324,0.071366906
ADJ,DET,ADJ,0.008945611,0.025611511
ADJ,INT,ADJ,0.054418985,0.085755396
ADJ,CON,ADJ,0.09208245,0.160863309
ADJ,NOU,ADJ,0.056296296,0.414676259
ADJ,PRO,ADJ,0.022519393,0.127482014
ADJ,PRP,ADJ,0.031561027,0.089784173
ADJ,VER,ADJ,0.001457928,0.007482014
ADV,ADJ,ADV,0.161170213,0.062832063
ADV,ADV,ADV,0.1484994,0.142873643
ADV,DET,ADV,0.098520992,0.095403095
ADV,INT,ADV,0.178805237,0.100947101
ADV,CON,ADV,0.144866114,0.086856087
ADV,NOU,ADV,0.014567901,0.027604528
ADV,PRO,ADV,0.122148894,0.243705244
ADV,PRP,ADV,0.156888423,0.138369138
ADV,VER,ADV,0.06095529,0.101409101
DET,ADJ,DET,0.211702128,0.082137899
DET,ADV,DET,0.013205282,0.01272559
DET,DET,DET,0.070252863,0.06813975
DET,INT,DET,0.011865794,0.006709857
DET,CON,DET,0.005008669,0.003007867
DET,NOU,DET,0.555390947,0.790606201
DET,PRO,DET,0.011635985,0.023253124
DET,PRP,DET,0.013357779,0.011800093
DET,VER,DET,0.000971952,0.001619621
INT,ADJ,INT,0.030319149,0.012327311
INT,ADV,INT,0.075030012,0.132837407
INT,DET,INT,0.058444656,0.104144527
INT,INT,INT,0.11497545,0.119447396
INT,CON,INT,0.091889809,0.101381509
INT,NOU,INT,0.011687243,0.042082891
INT,PRO,INT,0.097140211,0.35664187
INT,PRP,INT,0.059717129,0.096918172
INT,VER,INT,0.011177451,0.034218916
CON,ADJ,CON,0.028191489,0.005217977
CON,ADV,CON,0.086434574,0.121191719
CON,DET,CON,0.069895038,0.098636593
CON,INT,CON,0.126022913,0.103686248
CON,CON,CON,0.065112695,0.056892779
CON,NOU,CON,0.014567901,0.042417101
CON,PRO,CON,0.172860947,0.502608988
CON,PRP,CON,0.044656888,0.057397744
CON,VER,CON,0.004929186,0.01195085
NOU,ADJ,NOU,0.202393617,0.050827095
NOU,ADV,NOU,0.154021609,0.115516126
NOU,DET,NOU,0.055701336,0.041863044
NOU,INT,NOU,0.240589198,0.105720359
NOU,CON,NOU,0.300712772,0.136771093
NOU,NOU,NOU,0.085514403,0.04426578
NOU,PRO,NOU,0.147968044,0.231217078
NOU,PRP,NOU,0.350969094,0.241105258
NOU,VER,NOU,0.024923632,0.032714167
PRO,ADJ,PRO,0.004787234,0.00053495
PRO,ADV,PRO,0.045738295,0.02264622
PRO,DET,PRO,0.016698473,0.008321446
PRO,INT,PRO,0.039689034,0.011531146
PRO,CON,PRO,0.050471971,0.015572991
PRO,NOU,PRO,0.004197531,0.003566334
PRO,PRO,PRO,0.261433368,0.268426058
PRO,PRP,PRO,0.028810896,0.013076557
PRO,VER,PRO,0.766592613,0.656324299
PRP,ADJ,PRP,0.108244681,0.013558455
PRP,ADV,PRP,0.020288115,0.021616782
PRP,DET,PRP,0.274689885,0.294576618
PRP,INT,PRP,0.038666121,0.024174981
PRP,CON,PRP,0.009439414,0.006267588
PRP,NOU,PRP,0.228559671,0.39370683
PRP,PRO,PRP,0.04052333,0.089536966
PRP,PRP,PRP,0.050811943,0.049629061
PRP,VER,PRP,0.058039433,0.106932719
VER,ADJ,VER,0.241223404,0.042561628
VER,ADV,VER,0.430972389,0.237261252
VER,DET,VER,0.346851145,0.192188223
VER,INT,VER,0.194967267,0.062983279
VER,CON,VER,0.240416105,0.082479677
VER,NOU,VER,0.029218107,0.040843302
VER,PRO,VER,0.123769827,0.141299319
VER,PRP,VER,0.26322682,0.132839865
VER,VER,VER,0.070952513,0.067543454
